,Date,Price,Cases,Deaths
0,2022-09-29,3640.47,96111923,1054991
1,2022-09-28,3719.04,96027122,1054362
2,2022-09-27,3647.29,95926598,1053050
3,2022-09-26,3655.04,95884715,1052605
4,2022-09-23,3693.23,95811785,1052158
5,2022-09-22,3757.99,95767289,1051703
6,2022-09-21,3789.93,95673587,1051079
7,2022-09-20,3855.93,95566521,1050158
8,2022-09-19,3899.89,95514933,1049750
9,2022-09-16,3873.33,95435585,1049213
10,2022-09-15,3901.35,95376830,1048765
11,2022-09-14,3946.01,95282402,1048141
12,2022-09-13,3932.69,95166678,1047221
13,2022-09-12,4110.41,95105036,1046733
14,2022-09-09,4067.36,95002832,1046119
15,2022-09-08,4006.18,94928947,1045586
16,2022-09-07,3979.87,94840522,1044912
17,2022-09-06,3908.19,94696371,1044083
18,2022-09-02,3924.26,94538753,1043382
19,2022-09-01,3966.85,94450400,1042880
20,2022-08-31,3955.0,94341740,1042167
21,2022-08-30,3986.16,94187150,1040764
22,2022-08-29,4030.61,94070114,1040297
23,2022-08-26,4057.66,93940447,1039673
24,2022-08-25,4199.12,93838015,1039036
25,2022-08-24,4140.77,93726838,1038392
26,2022-08-23,4128.73,93552476,1037466
27,2022-08-22,4137.99,93447273,1036961
28,2022-08-19,4228.48,93310182,1036333
29,2022-08-18,4283.74,93201691,1035802
30,2022-08-17,4274.04,93075325,1035194
31,2022-08-16,4305.2,92915222,1034234
32,2022-08-15,4297.14,92794605,1033762
33,2022-08-12,4280.15,92647685,1033177
34,2022-08-11,4207.27,92525917,1032506
35,2022-08-10,4210.24,92388899,1031805
36,2022-08-09,4122.47,92213737,1030933
37,2022-08-08,4140.06,92085090,1030371
38,2022-08-05,4145.19,91918779,1029769
39,2022-08-04,4151.94,91786865,1029112
40,2022-08-03,4155.17,91622134,1028439
41,2022-08-02,4091.19,91404290,1027382
42,2022-08-01,4118.63,91296080,1026937
43,2022-07-29,4130.29,91096522,1026300
44,2022-07-28,4072.43,90957226,1025682
45,2022-07-27,4023.61,90808119,1025198
46,2022-07-26,3921.05,90581106,1024374
47,2022-07-25,3966.84,90416871,1023855
48,2022-07-22,3961.63,90203417,1023273
49,2022-07-21,3998.95,90037728,1022693
50,2022-07-20,3959.9,89884217,1022142
51,2022-07-19,3936.69,89678594,1021350
52,2022-07-18,3830.85,89517723,1020803
53,2022-07-15,3863.16,89304262,1020230
54,2022-07-14,3790.38,89134380,1019697
55,2022-07-13,3801.78,88990197,1019239
56,2022-07-12,3818.8,88798580,1018359
57,2022-07-11,3854.43,88614311,1017837
58,2022-07-08,3899.38,88392827,1017242
59,2022-07-07,3902.62,88224768,1016680
60,2022-07-06,3845.08,88100156,1016205
61,2022-07-05,3831.39,87859451,1015488
62,2022-07-01,3825.33,87623722,1014974
63,2022-06-30,3785.38,87471461,1014452
64,2022-06-29,3818.83,87347743,1013999
65,2022-06-28,3821.55,87151380,1013306
66,2022-06-27,3900.11,87029092,1012765
67,2022-06-24,3911.74,86830946,1012317
68,2022-06-23,3795.73,86675387,1011825
69,2022-06-22,3759.89,86558894,1011326
70,2022-06-21,3764.79,86388012,1010552
71,2022-06-17,3674.84,86094706,1009847
72,2022-06-16,3666.77,85978149,1009543
73,2022-06-15,3789.99,85873952,1009208
74,2022-06-14,3735.48,85701877,1008554
75,2022-06-13,3749.63,85566462,1008116
76,2022-06-10,3900.86,85387293,1007702
77,2022-06-09,4017.82,85251252,1007331
78,2022-06-08,4115.77,85133541,1006988
79,2022-06-07,4160.68,84954327,1005943
80,2022-06-06,4121.43,84811514,1005473
81,2022-06-03,4108.54,84614282,1004941
82,2022-06-02,4176.82,84472070,1004534
83,2022-06-01,4101.23,84360700,1004163
84,2022-05-31,4132.15,84141433,1003571
85,2022-05-27,4158.24,83904091,1003124
86,2022-05-26,4057.84,83765180,1002522
87,2022-05-25,3978.73,83640539,1002179
88,2022-05-24,3941.48,83453009,1001375
89,2022-05-23,3973.75,83320644,1000826
90,2022-05-20,3901.36,83128466,1000411
91,2022-05-19,3900.79,82988450,1000013
92,2022-05-18,3923.68,82867288,999607
93,2022-05-17,4088.85,82698373,999027
94,2022-05-16,4008.01,82564280,998673
95,2022-05-13,4023.89,82369958,998279
96,2022-05-12,3930.08,82255493,997853
97,2022-05-11,3935.18,82140136,997481
98,2022-05-10,4001.05,81978601,996916
99,2022-05-09,3991.24,81884978,996612
100,2022-05-06,4123.34,81730174,996168
101,2022-05-05,4152.38,81634962,995715
102,2022-05-04,4300.17,81541535,995021
103,2022-05-03,4175.48,81439579,993088
104,2022-05-02,4155.38,81370245,992424
105,2022-04-29,4131.93,81236707,991921
106,2022-04-28,4287.5,81154876,991502
107,2022-04-27,4183.96,81081307,991039
108,2022-04-26,4175.2,80996837,990368
109,2022-04-25,4296.12,80942184,990062
110,2022-04-22,4271.78,80836264,989584
111,2022-04-21,4393.66,80768167,989094
112,2022-04-20,4459.45,80708901,988610
113,2022-04-19,4462.21,80646004,987999
114,2022-04-18,4391.69,80595982,987545
115,2022-04-14,4392.59,80466106,986448
116,2022-04-13,4446.59,80408643,985832
117,2022-04-12,4397.45,80354734,984838
118,2022-04-11,4412.53,80325700,984247
119,2022-04-08,4488.28,80254009,983514
120,2022-04-07,4500.21,80209904,982971
121,2022-04-06,4481.15,80174198,982263
